Title,WAF URL,Records,Records in Error,Notes
CoRIS FGDC Metadata,https://data.noaa.gov/waf/NOAA/coris/fgdc/iso/xml/,4511,,
CoRIS Native ISO Metadata,https://data.noaa.gov/waf/NOAA/coris/native/iso/xml/,43,,
IOOS,https://data.noaa.gov/waf/NOAA/ioos/iso/xml/,17687,,
NCDC,https://data.noaa.gov/waf/NOAA/NESDIS/ncei/ncei-nc/iso/xml/,532,,
NCDDC OER,https://data.noaa.gov/waf/NOAA/NESDIS/ncei/oer/iso/xml/,516,,
NESDIS/NCEI/GIS,https://data.noaa.gov/waf/NOAA/NESDIS/ncei/gis/iso/xml/,184,,
NESDIS/NGDC/MGG/NOS/B00001-B02000,https://data.noaa.gov/waf/NOAA/NESDIS/NGDC/MGG/NOS/B00001-B02000/iso/xml/,302,,
NESDIS/NGDC/MGG/NOS/D00001-D02000,https://data.noaa.gov/waf/NOAA/NESDIS/NGDC/MGG/NOS/D00001-D02000/iso/xml/,193,,
NESDIS/NGDC/MGG/NOS/F00001-F02000,https://data.noaa.gov/waf/NOAA/NESDIS/NGDC/MGG/NOS/F00001-F02000/iso/xml/,665,,
NESDIS/NGDC/MGG/NOS/H00001-H02000,https://data.noaa.gov/waf/NOAA/NESDIS/NGDC/MGG/NOS/H00001-H02000/iso/xml/,2742,,
NESDIS/NGDC/MGG/NOS/H02001-H04000,https://data.noaa.gov/waf/NOAA/NESDIS/NGDC/MGG/NOS/H02001-H04000/iso/xml/,2269,,
NESDIS/NGDC/MGG/NOS/H04001-H06000,https://data.noaa.gov/waf/NOAA/NESDIS/NGDC/MGG/NOS/H04001-H06000/iso/xml/,2227,,
NESDIS/NGDC/MGG/NOS/H06001-H08000,https://data.noaa.gov/waf/NOAA/NESDIS/NGDC/MGG/NOS/H06001-H08000/iso/xml/,2091,,
NESDIS/NGDC/MGG/NOS/H08001-H10000,https://data.noaa.gov/waf/NOAA/NESDIS/NGDC/MGG/NOS/H08001-H10000/iso/xml/,2134,,
NESDIS/NGDC/MGG/NOS/H10001-H12000,https://data.noaa.gov/waf/NOAA/NESDIS/NGDC/MGG/NOS/H10001-H12000/iso/xml/,1808,,
NESDIS/NGDC/MGG/NOS/H12001-H14000,https://data.noaa.gov/waf/NOAA/NESDIS/NGDC/MGG/NOS/H12001-H14000/iso/xml/,821,,
NESDIS/NGDC/MGG/NOS/L00001-L02000,https://data.noaa.gov/waf/NOAA/NESDIS/NGDC/MGG/NOS/L00001-L02000/iso/xml/,2049,,
